rank,req_id,title,detail,category,source_urls,notes,validation,gating
Scout,SC-1,"Ideals: Oath, Law, Motto, Slogan, Pledge","Recite the Scout Oath, Scout Law, Scout Motto, Scout Slogan, and the Pledge of Allegiance from memory; explain their meaning in your own words.",Ideals,"[""https://www.scouting.org/wp-content/uploads/2024/01/2024-Scout-Rank-Requirements.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},{}
Scout,SC-2,"Scout Sign, Salute, Handshake","Demonstrate the Scout sign, salute, and handshake and explain when each is used.",Ideals,"[""https://www.scouting.org/wp-content/uploads/2024/01/2024-Scout-Rank-Requirements.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},{}
Scout,SC-3,Troop & Advancement Basics,"After attending at least one troop meeting, explain youth leadership in the troop, the four steps of advancement, the Scout ranks and how they are earned, and how merit badges are earned.",Program,"[""https://www.scouting.org/wp-content/uploads/2024/01/2024-Scout-Rank-Requirements.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},{}
Scout,SC-4,Patrol Method,Explain the patrol method and describe the patrol types used in your troop.,Program,"[""https://www.scouting.org/wp-content/uploads/2024/01/2024-Scout-Rank-Requirements.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},{}
Scout,SC-5,Knots & Rope Care,"Tie a square knot, two half-hitches, and a taut-line hitch; explain their uses. Show how to whip or fuse the ends of a rope.",Outdoor Skills,"[""https://www.scouting.org/wp-content/uploads/2024/01/2024-Scout-Rank-Requirements.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},{}
Scout,SC-6,Pocketknife Safety,"Explain rules for safe handling, sharpening, passing, opening/closing, and storage of a pocketknife.",Outdoor Skills,"[""https://www.scouting.org/wp-content/uploads/2024/01/2024-Scout-Rank-Requirements.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},{}
Scout,SC-7,Personal Safety Awareness (with parent/guardian),"With a parent/guardian, complete the exercises in 'How to Protect Your Children From Child Abuse: A Parent’s Guide' and view the Personal Safety Awareness videos (with permission).",Safety,"[""https://www.scouting.org/wp-content/uploads/2024/01/2024-Scout-Rank-Requirements.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,"{""requires_parent_guardian"": true}",{}
Scout,SC-8,Scoutmaster Conference,Participate in a Scoutmaster conference while working on Scout rank. (Not a retest.),Conferences & Reviews,"[""https://www.scouting.org/wp-content/uploads/2024/01/2024-Scout-Rank-Requirements.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},"{""conference_required"": true, ""bor_required"": false}"
Tenderfoot,TF-1,Camping Preparation & Ethics,"a) Present yourself prepared for an overnight campout with personal and camping gear; demonstrate packing/carrying. b) On a patrol/troop campout, spend at least one night in a tent you helped pitch. c) Explain how you lived the Outdoor Code and Leave No Trace on outings.",Camping,"[""https://www.scouting.org/wp-content/uploads/2024/01/2024-Tenderfoot-Rank-Requirements.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},{}
Tenderfoot,TF-2,Cooking & Cleanup,Assist in preparing one meal on a campout and explain shared meal responsibilities; demonstrate safe dishwashing; explain the importance of eating together as a patrol.,Cooking,"[""https://www.scouting.org/wp-content/uploads/2024/01/2024-Tenderfoot-Rank-Requirements.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},{}
